,bitcoin_cash_MAvg_Close,bitcoin_MAvg_Close,bitconnect_MAvg_Close,dash_MAvg_Close,ethereum_MAvg_Close,ethereum_classic_MAvg_Close,iota_MAvg_Close,litecoin_MAvg_Close,monero_MAvg_Close,nem_MAvg_Close,neo_MAvg_Close,numeraire_MAvg_Close,omisego_MAvg_Close,qtum_MAvg_Close,ripple_MAvg_Close,stratis_MAvg_Close,waves_MAvg_Close
58,475.7,3857.7,115.5,323.7,276.0,11.1,0.6,52.3,97.3,0.2,20.3,16.4,10.3,8.9,0.2,4.9,4.0
59,494.4,3965.4,119.0,333.2,286.7,11.5,0.6,53.4,98.0,0.2,20.3,15.9,10.0,9.1,0.2,5.0,4.2
60,473.4,3820.7,114.5,332.2,275.0,10.9,0.5,50.4,93.2,0.2,19.0,14.7,9.0,8.4,0.2,4.5,4.0
61,435.8,3722.6,111.9,339.7,268.9,10.5,0.5,48.8,90.0,0.2,18.6,13.9,8.6,7.9,0.2,4.2,3.8
62,420.0,3684.7,110.5,342.5,269.7,10.3,0.5,48.0,88.8,0.2,18.8,13.4,8.6,7.7,0.2,4.1,3.8
63,421.5,3702.0,111.0,343.1,277.7,10.4,0.5,48.3,89.8,0.2,19.6,14.1,8.8,7.9,0.2,4.0,3.9
64,431.8,3800.4,113.6,342.6,287.0,10.6,0.5,49.5,91.7,0.2,22.0,14.9,9.2,8.5,0.2,4.2,4.1
65,436.2,3833.8,115.1,338.7,287.4,10.8,0.5,50.2,92.1,0.2,24.1,15.3,9.5,8.9,0.2,4.2,4.3
66,448.3,4006.4,120.5,343.5,295.4,11.6,0.5,53.1,95.9,0.2,28.1,15.8,10.0,9.5,0.2,4.5,4.7
67,449.0,4089.3,125.1,341.3,297.7,12.2,0.6,54.0,97.1,0.2,29.3,15.8,10.2,9.7,0.2,4.7,4.9
68,447.3,4179.5,129.2,337.5,299.0,12.6,0.6,54.3,97.6,0.2,30.1,15.7,10.2,9.9,0.2,4.7,5.0
69,439.1,4225.5,132.5,331.0,297.4,12.7,0.6,53.9,95.8,0.2,30.9,14.9,10.1,10.4,0.2,4.6,4.9
70,428.2,4301.8,135.2,323.5,298.4,12.7,0.6,54.1,94.5,0.2,32.9,15.2,9.9,11.2,0.2,4.3,5.0
71,423.0,4383.9,138.2,317.2,300.4,12.7,0.6,54.4,93.5,0.2,35.6,15.2,9.7,11.9,0.2,4.2,5.0
72,413.5,4376.8,138.3,306.9,297.4,12.5,0.6,53.4,92.6,0.2,35.4,15.0,9.4,12.1,0.2,4.0,4.8
73,394.6,4318.7,136.9,303.5,294.2,12.3,0.6,52.4,91.6,0.2,33.8,14.2,9.0,11.9,0.2,3.8,4.8
74,372.8,4291.8,136.9,302.4,293.7,12.1,0.5,51.8,91.7,0.2,32.3,14.0,8.9,11.9,0.2,3.7,4.9
